iter	Passed	Remaining
1350	8803	9148
1351	8809	9142
1352	8816	9136
1353	8822	9129
1354	8829	9122
1355	8836	9116
1356	8843	9110
1357	8849	9103
1358	8856	9097
1359	8862	9091
1360	8869	9084
1361	8876	9078
1362	8882	9071
1363	8889	9065
1364	8895	9058
1365	8902	9052
1366	8908	9045
1367	8915	9039
1368	8921	9032
1369	8928	9026
1370	8934	9019
1371	8941	9013
1372	8947	9006
1373	8954	8999
1374	8961	8993
1375	8967	8987
1376	8974	8980
1377	8981	8974
1378	8987	8967
1379	8993	8961
1380	9000	8955
1381	9007	8948
1382	9014	8942
1383	9020	8935
1384	9027	8929
1385	9033	8923
1386	9040	8916
1387	9047	8910
1388	9053	8903
1389	9060	8897
1390	9067	8891
1391	9073	8884
1392	9080	8878
1393	9086	8871
1394	9092	8864
1395	9099	8858
1396	9105	8851
1397	9112	8845
1398	9118	8838
1399	9125	8832
1400	9132	8826
1401	9139	8819
1402	9145	8813
1403	9152	8806
1404	9158	8800
1405	9165	8793
1406	9172	8787
1407	9178	8781
1408	9185	8774
1409	9191	8768
1410	9198	8761
1411	9204	8754
1412	9210	8748
1413	9217	8741
1414	9223	8734
1415	9230	8728
1416	9236	8721
1417	9243	8715
1418	9249	8708
1419	9256	8702
1420	9262	8695
1421	9269	8689
1422	9275	8682
1423	9282	8675
1424	9288	8669
1425	9295	8663
1426	9301	8656
1427	9308	8650
1428	9314	8643
1429	9321	8636
1430	9328	8630
1431	9334	8624
1432	9341	8617
1433	9347	8611
1434	9354	8604
1435	9360	8598
1436	9367	8591
1437	9373	8585
1438	9380	8578
1439	9386	8571
1440	9393	8565
1441	9399	8558
1442	9406	8552
1443	9412	8545
1444	9418	8538
1445	9425	8532
1446	9432	8526
1447	9439	8520
1448	9445	8513
1449	9452	8507
1450	9459	8500
1451	9465	8494
1452	9472	8487
1453	9479	8481
1454	9485	8475
1455	9492	8468
1456	9499	8462
1457	9505	8455
1458	9511	8449
1459	9518	8442
1460	9524	8436
1461	9531	8429
1462	9538	8423
1463	9544	8416
1464	9550	8409
1465	9557	8403
1466	9564	8397
1467	9570	8390
1468	9577	8384
1469	9583	8377
1470	9590	8371
1471	9596	8364
1472	9603	8358
1473	9609	8351
1474	9616	8345
1475	9622	8338
1476	9629	8331
1477	9635	8325
1478	9642	8318
1479	9648	8312
1480	9655	8305
1481	9661	8299
1482	9668	8292
1483	9674	8286
1484	9681	8279
1485	9688	8273
1486	9694	8267
1487	9701	8260
1488	9707	8253
1489	9714	8247
1490	9721	8241
1491	9727	8234
1492	9734	8228
1493	9740	8221
1494	9747	8215
1495	9754	8208
1496	9760	8202
1497	9767	8195
1498	9774	8189
1499	9781	8183
1500	9787	8177
1501	9794	8170
1502	9800	8163
1503	9807	8157
1504	9813	8151
1505	9820	8144
1506	9826	8138
1507	9833	8131
1508	9839	8124
1509	9846	8118
1510	9853	8112
1511	9859	8105
1512	9866	8099
1513	9872	8092
1514	9879	8086
1515	9886	8079
1516	9892	8073
1517	9899	8066
1518	9905	8060
1519	9912	8053
1520	9918	8047
1521	9924	8040
1522	9931	8033
1523	9938	8027
1524	9944	8021
1525	9951	8014
1526	9958	8008
1527	9964	8001
1528	9971	7995
1529	9978	7988
1530	9984	7982
1531	9991	7975
1532	9997	7969
1533	10004	7962
1534	10010	7956
1535	10016	7949
1536	10023	7943
1537	10030	7936
1538	10036	7930
1539	10043	7923
1540	10049	7917
1541	10056	7911
1542	10063	7904
1543	10069	7898
1544	10076	7891
1545	10083	7885
1546	10089	7878
1547	10096	7872
1548	10103	7865
1549	10109	7859
1550	10116	7852
1551	10123	7846
1552	10129	7840
1553	10136	7833
1554	10143	7827
1555	10149	7820
1556	10156	7814
1557	10162	7808
1558	10169	7801
1559	10175	7794
1560	10182	7788
1561	10188	7781
1562	10195	7775
1563	10201	7768
1564	10208	7762
1565	10214	7755
1566	10220	7748
1567	10227	7742
1568	10234	7735
1569	10241	7729
1570	10247	7723
1571	10254	7716
1572	10260	7710
1573	10267	7703
1574	10273	7697
1575	10280	7690
1576	10287	7684
1577	10294	7678
1578	10300	7671
1579	10307	7665
1580	10313	7658
1581	10320	7652
1582	10327	7645
1583	10333	7639
1584	10340	7633
1585	10346	7626
1586	10353	7620
1587	10361	7614
1588	10367	7607
1589	10373	7600
1590	10380	7594
1591	10387	7588
1592	10393	7581
1593	10400	7575
1594	10406	7568
1595	10413	7562
1596	10419	7555
1597	10426	7548
1598	10433	7542
1599	10439	7535
1600	10445	7529
1601	10452	7523
1602	10459	7516
1603	10465	7510
1604	10472	7503
1605	10479	7497
1606	10486	7491
1607	10492	7484
1608	10499	7478
1609	10505	7471
1610	10512	7464
1611	10518	7458
1612	10525	7451
1613	10532	7446
1614	10539	7439
1615	10546	7433
1616	10552	7426
1617	10559	7420
1618	10565	7413
1619	10571	7406
1620	10578	7400
1621	10584	7393
1622	10591	7387
1623	10597	7380
1624	10603	7373
1625	10610	7367
1626	10617	7360
1627	10623	7354
1628	10629	7347
1629	10636	7340
1630	10642	7334
1631	10649	7328
1632	10656	7321
1633	10662	7315
1634	10669	7308
1635	10676	7302
1636	10683	7296
1637	10689	7289
1638	10696	7283
1639	10703	7276
1640	10709	7270
1641	10716	7263
1642	10723	7257
1643	10729	7251
1644	10736	7244
1645	10743	7238
1646	10749	7231
